distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second,store_forward,vendor
2.42,40.73612595,-73.92391968,2,40.76607513,-73.9196701,5,1,9,16,52,55,5,1,9,17,7,38,0,2
0.68,40.68500137,-73.98883057,1,40.68385315,-73.97902679,5,1,30,3,49,11,5,1,30,3,51,52,0,2
0.9,40.69200516,-73.94663239,1,40.69737625,-73.93579865,1,1,19,0,19,8,1,1,19,0,22,57,0,1
1.54,40.66360092,-73.98767853,1,40.6814003,-73.9771347,0,1,25,18,57,54,0,1,25,19,7,22,0,2
1.2,40.81608963,-73.94689941,1,40.82910538,-73.94866943,6,1,24,22,0,51,6,1,24,22,8,28,0,1
0.53,40.68924332,-73.98722839,2,40.68525696,-73.98040771,1,1,5,12,10,5,1,1,5,12,14,17,0,2
1.3,40.84480667,-73.90969086,1,40.82953644,-73.91214752,3,1,7,19,37,21,3,1,7,19,45,39,0,1
3.43,40.76502228,-73.88234711,1,40.74656296,-73.89098358,1,1,5,0,55,32,1,1,5,1,4,2,0,2
5.92,40.67586517,-73.9415741,1,40.67301178,-73.96076202,0,1,25,9,6,36,0,1,25,9,57,21,0,2
3.41,40.72816849,-74.00292206,1,40.68715668,-73.99017334,0,1,11,16,26,9,0,1,11,16,41,12,0,2
4.3,40.6792984,-73.91370392,1,40.68907166,-73.9863205,3,1,14,1,49,26,3,1,14,2,4,50,0,2
0.6,40.7921257,-73.94418335,1,40.79029846,-73.95188141,4,1,8,18,59,41,4,1,8,19,4,3,0,1
1.66,40.66794205,-73.98070526,1,40.68682098,-73.98474121,5,1,2,15,3,44,5,1,2,15,13,4,0,2
8.18,40.71830368,-73.98712921,1,40.76459122,-73.91438293,2,1,6,22,58,48,2,1,6,23,11,57,0,2
1.34,40.71163559,-73.9474411,1,40.71758652,-73.95783997,1,1,5,18,50,13,1,1,5,18,58,59,0,2
0.99,40.67162323,-73.95042419,1,40.65935135,-73.95333862,5,1,30,2,3,16,5,1,30,2,7,39,0,2
8.7,40.74627686,-73.99367523,1,40.68146515,-73.95744324,0,1,25,9,1,16,0,1,25,9,58,48,0,1
3.78,40.74964523,-73.86399841,1,40.74309158,-73.91897583,2,1,20,10,13,29,3,1,21,0,0,0,0,2
3.79,40.67259216,-73.95726776,1,40.72179413,-73.95790863,5,1,9,23,40,38,5,1,9,23,59,13,0,2
1.38,40.74104691,-73.87996674,1,40.74589157,-73.90324402,2,1,13,19,37,43,2,1,13,19,51,56,0,2
4.96,40.82209778,-73.94229126,1,40.85832214,-73.88437653,5,1,16,0,23,42,5,1,16,0,39,58,0,2
5.48,40.74211502,-73.86781311,1,40.71368027,-73.82984924,3,1,7,15,6,36,3,1,7,15,21,41,0,2
2.55,40.78004456,-73.95024872,1,40.80887604,-73.94470215,3,1,21,13,59,58,3,1,21,14,18,46,0,2
1.4,40.74409866,-73.92851257,1,40.74384308,-73.95044708,4,1,22,22,17,51,4,1,22,22,25,44,0,1
1.47,40.83106613,-73.91254425,3,40.84760284,-73.91960907,3,1,14,14,36,52,3,1,14,14,45,0,0,2
5.32,40.75860596,-73.99301147,1,40.78536606,-73.94946289,0,1,18,14,23,34,0,1,18,14,45,20,0,2
5.08,40.74038315,-73.98893738,1,40.74341965,-73.91897583,3,1,21,22,33,0,3,1,21,23,2,3,0,2
1.96,40.71070099,-73.90512848,1,40.71224213,-73.93954468,0,1,25,19,35,9,0,1,25,19,45,46,0,2
1.81,40.75123215,-73.86442566,2,40.73397827,-73.86961365,5,1,30,17,36,19,5,1,30,17,49,44,0,2
2.15,40.80570602,-73.94692993,2,40.81264496,-73.93778992,6,1,17,11,23,13,6,1,17,11,31,22,0,2
0.71,40.79479599,-73.9405899,1,40.66432571,-74.02233887,4,1,22,7,42,5,4,1,22,7,46,49,0,2
3.11,40.8040657,-73.96647644,1,40.83912659,-73.94033051,0,1,25,17,1,51,0,1,25,17,16,29,0,2
0.86,40.83486938,-73.94441986,1,40.84637451,-73.93850708,3,1,21,13,34,9,3,1,21,13,39,58,0,2
1.36,40.80463409,-73.93894958,1,40.78955841,-73.95246887,3,1,21,17,45,41,3,1,21,17,55,14,0,2
1.36,40.72395325,-73.95004272,1,40.70988846,-73.9393158,5,1,16,11,39,30,5,1,16,11,47,46,0,2
1.73,40.64018631,-74.02970123,1,40.63082504,-74.00909424,2,1,6,8,31,19,2,1,6,8,41,2,0,2
1.2,40.81173706,-73.95388031,1,40.82302475,-73.94210052,6,1,10,19,35,40,6,1,10,19,41,59,0,1
0.4,40.71327591,-73.82328796,1,40.71366882,-73.8297348,4,1,22,20,36,52,4,1,22,20,39,32,0,2
0.5,40.7689743,-73.92588806,1,40.76514435,-73.93154907,4,1,1,3,21,14,4,1,1,3,23,59,0,2
2.5,40.70749664,-73.93401337,1,40.73307419,-73.95463562,5,1,30,21,52,30,5,1,30,22,5,37,0,1
0.89,40.8118782,-73.9409256,1,40.80585861,-73.93641663,3,1,7,18,0,13,3,1,7,18,8,22,0,2
2.7,40.73839569,-73.89851379,1,40.75811005,-73.91981506,6,1,3,2,19,19,6,1,3,2,32,10,0,1
0.8,40.71907043,-73.96114349,1,40.72230911,-73.94994354,2,1,20,13,34,58,2,1,20,13,40,8,0,1
2.77,40.67212677,-73.92612457,1,40.69506836,-73.95264435,0,1,11,23,18,31,0,1,11,23,28,8,0,2
0.77,40.74902344,-73.86929321,1,40.747612,-73.88395691,0,1,18,12,25,13,0,1,18,12,29,50,0,2
1.7,40.82710266,-73.9370575,2,40.80780792,-73.94526672,1,1,26,0,11,53,1,1,26,0,22,2,0,1
1.5,40.83472061,-73.94423676,1,40.81729126,-73.94594574,3,1,28,17,3,26,3,1,28,17,17,0,0,2
2.42,40.66091919,-73.99267578,1,40.68974686,-73.98154449,0,1,25,18,54,15,0,1,25,19,6,10,0,2
3.5,40.69706726,-73.93041992,1,40.74489212,-73.94846344,2,1,6,4,33,51,2,1,6,4,47,26,0,1
1.5,40.78748322,-73.94973755,1,40.79544067,-73.93215179,0,1,4,21,49,44,0,1,4,21,57,49,0,1
0.23,40.80635452,-73.96595764,1,40.80505753,-73.96185303,4,1,22,9,51,19,4,1,22,9,52,23,0,2
1.08,40.80855179,-73.94332886,1,40.81188583,-73.95505524,5,1,30,11,1,46,5,1,30,11,8,49,0,2
0.75,40.72107315,-73.85527039,1,40.72136307,-73.84429169,2,1,27,12,50,37,2,1,27,12,55,33,0,2
2.18,40.70139313,-73.91440582,1,40.69541931,-73.94903564,4,1,15,10,1,24,4,1,15,10,14,42,0,2
1.42,40.72935486,-73.89579773,1,40.74671173,-73.89151001,1,1,12,22,58,25,1,1,12,23,6,47,0,2
4.3,40.7081604,-73.91986084,1,40.69290543,-73.99088287,1,1,19,18,39,55,1,1,19,19,7,28,0,1
11.02,40.76796341,-73.74824524,6,40.70034027,-73.80757904,1,1,19,7,58,27,1,1,19,8,38,25,0,2
8.16,40.72181702,-73.98830414,1,40.75638199,-73.91348267,4,1,8,19,37,24,4,1,8,19,59,50,0,2
0.78,40.74526596,-73.95320129,1,40.7461319,-73.94506073,5,1,9,15,53,41,5,1,9,15,57,55,0,2
3.5,40.76524353,-73.96727753,1,40.7667923,-73.92168427,3,1,14,15,10,42,3,1,14,15,29,25,0,1
1.72,40.82315826,-73.93805695,1,40.84354019,-73.94287109,2,1,20,15,33,9,2,1,20,15,44,38,0,2
1.37,40.69329834,-73.96748352,1,40.68500519,-73.97797394,2,1,20,20,21,43,2,1,20,20,32,24,0,2
18.7,40.64318848,-73.78510284,2,40.8065834,-73.96476746,0,1,4,5,29,35,0,1,4,5,59,42,0,1
2.8,40.71150208,-73.95758057,1,40.67977142,-73.9520874,6,1,3,22,5,54,6,1,3,22,19,40,0,2
0.52,40.73590469,-73.92111206,1,40.74299622,-73.91886902,3,1,14,23,6,16,3,1,14,23,9,43,0,2
6.34,40.73410034,-73.9997406,1,40.80905151,-73.9445343,0,1,25,22,47,57,0,1,25,23,17,18,0,2
0.6,40.76731873,-73.92714691,1,40.76187515,-73.92546082,1,1,5,18,17,36,1,1,5,18,20,41,0,1
0.94,40.80145264,-73.93952179,1,40.79983521,-73.95137787,5,1,2,13,51,23,5,1,2,13,56,38,0,2
4.67,40.74655151,-73.98152924,1,40.73889923,-73.9289856,1,1,5,8,0,18,1,1,5,8,30,2,0,2
1.72,40.77664566,-73.94367218,1,40.79014587,-73.95235443,4,1,29,15,14,44,4,1,29,15,41,24,0,2
0.5,40.82621384,-73.91990662,1,40.82376862,-73.91217804,0,1,11,11,3,43,0,1,11,11,6,39,0,1
2.11,40.80887222,-73.92306519,1,40.79981232,-73.94709015,3,1,7,13,51,7,3,1,7,14,2,10,0,2
1.09,40.71174622,-73.96221924,1,40.72190094,-73.95796204,0,1,25,1,32,51,0,1,25,1,41,14,0,2
1.03,40.78437424,-73.95618439,2,40.79154587,-73.95331573,6,1,24,17,18,52,6,1,24,17,23,29,0,2
0.66,40.77900696,-73.95097351,1,40.7874527,-73.94467926,0,1,4,22,10,52,0,1,4,22,12,23,0,2
2.38,40.68574905,-73.84062195,1,40.7118454,-73.86005402,5,1,2,1,36,53,5,1,2,1,42,47,0,2
9.19,40.60329819,-73.99568939,5,40.68475342,-73.9294281,4,1,8,18,27,10,4,1,8,19,41,33,0,2
1.55,40.75661469,-73.93981934,1,40.74672318,-73.95619202,0,1,18,11,42,26,0,1,18,11,49,3,0,2
1.08,40.65378189,-73.95276642,1,40.63972855,-73.95344543,6,1,10,0,17,12,6,1,10,0,23,11,0,2
1.44,40.73417282,-73.95033264,1,40.71854019,-73.95694733,1,1,26,11,34,34,1,1,26,11,43,49,0,2
1.4,40.81446075,-73.944664,1,40.82888412,-73.94851685,5,1,16,1,40,7,5,1,16,1,48,13,0,1
1.18,40.82539749,-73.94600677,1,40.8111763,-73.95228577,3,1,28,12,34,23,3,1,28,12,39,51,0,2
1.15,40.83150864,-73.9393692,1,40.81615067,-73.94676971,4,1,29,3,53,48,4,1,29,3,59,38,0,2
5.1,40.77388382,-73.95206451,1,40.74550247,-73.90638733,3,1,14,7,48,12,3,1,14,8,39,42,0,1
18.38,40.64527512,-73.77637482,1,40.66198349,-73.98361206,5,1,9,14,45,35,5,1,9,15,33,2,0,2
6.27,40.69927216,-73.9124527,1,40.72092056,-73.84424591,2,1,13,2,15,2,2,1,13,2,30,22,0,2
0.68,40.79141235,-73.95315552,1,40.80049515,-73.94651031,3,1,28,15,22,44,3,1,28,15,30,58,0,2
0.48,40.73853302,-73.87744904,1,40.74403763,-73.88522339,0,1,4,22,47,4,0,1,4,22,49,13,0,2
0.66,40.68005371,-73.97484589,6,40.67770004,-73.98384857,5,1,2,18,1,30,5,1,2,18,6,49,0,2
0.79,40.81098175,-73.95794678,1,40.80110931,-73.9597168,4,1,8,10,51,14,4,1,8,10,54,13,0,2
0.75,40.6944313,-73.99306488,1,40.68559265,-73.99430847,5,1,16,15,21,13,5,1,16,15,29,57,0,2
8.77,40.68755341,-73.80797577,1,40.75587845,-73.88195038,1,1,19,19,52,2,1,1,19,20,11,14,0,2
3.65,40.70303345,-73.91708374,1,40.74301529,-73.91869354,6,1,17,14,11,24,6,1,17,14,26,27,0,2
0.91,40.79079819,-73.95374298,1,40.80054092,-73.95397949,6,1,17,7,14,43,6,1,17,7,17,57,0,2
2.2,40.72120285,-73.83958435,1,40.73278427,-73.86373138,5,1,16,15,39,59,5,1,16,15,53,27,0,1
3.33,40.76261902,-73.96117401,1,40.79560089,-73.93201447,0,1,18,13,19,8,0,1,18,13,28,7,0,2
4.68,40.82215118,-73.92902374,1,40.82804871,-73.87877655,0,1,18,9,11,25,0,1,18,9,30,6,0,2
10.11,40.70461655,-73.87313843,1,40.68998337,-73.98132324,0,1,11,22,48,27,0,1,11,23,8,31,0,2
0.77,40.68554688,-73.9787674,1,40.68679047,-73.99041748,4,1,22,17,48,32,4,1,22,17,58,9,0,2
2.03,40.68111038,-73.9224472,1,40.69582367,-73.94657898,4,1,1,5,13,49,4,1,1,5,25,8,0,2
0.01,40.70275116,-73.99417114,1,40.70274353,-73.99391937,4,1,8,16,15,39,4,1,8,16,16,18,0,2
2.32,40.65672684,-73.95701599,1,40.68358612,-73.97718048,4,1,8,22,35,49,4,1,8,22,45,58,0,2
10.8,40.80939102,-73.9234848,1,40.72119904,-73.95864868,2,1,13,22,45,35,2,1,13,23,12,2,0,2
1.8,40.7859726,-73.95678711,1,40.80516815,-73.93910217,6,1,17,11,53,28,6,1,17,12,0,24,0,1
1.03,40.66022873,-73.99152374,1,40.65419388,-74.00447845,5,1,2,21,36,9,5,1,2,21,41,49,0,2
8.23,40.68800354,-73.77768707,1,40.65005112,-73.89390564,4,1,8,23,19,45,4,1,8,23,51,5,0,2
1.2,40.84376526,-73.90785217,1,40.8310051,-73.92029572,1,1,5,15,15,56,1,1,5,15,20,43,0,1
1.24,40.68772507,-73.97053528,6,40.692379,-73.99088287,1,1,5,18,46,29,1,1,5,18,55,33,0,2
1.27,40.6788826,-74.01120758,1,40.67910385,-73.99582672,1,1,26,18,56,34,1,1,26,19,2,46,0,2
5.1,40.73616028,-73.93642426,1,40.79182053,-73.94948578,4,1,15,22,13,3,4,1,15,22,37,28,0,1
2.67,40.78351593,-73.97793579,3,40.8033638,-73.94843292,4,1,8,18,47,49,4,1,8,19,2,11,0,2
0.58,40.7297287,-73.86265564,1,40.72847748,-73.85704041,4,1,29,12,55,43,4,1,29,13,1,33,0,2
4,40.62519836,-73.96144104,2,40.67013168,-73.9885788,5,1,30,1,25,56,5,1,30,1,41,48,1,1
4.07,40.76441574,-73.98822784,1,40.79301834,-73.94577789,5,1,9,22,1,12,5,1,9,22,19,24,0,2
5.46,40.81761169,-73.9254837,1,40.87985229,-73.87895966,3,1,14,15,34,25,3,1,14,16,7,27,0,2
0.55,40.75544739,-73.91740417,1,40.75545883,-73.92175293,5,1,9,4,7,4,5,1,9,4,9,56,0,2
4.25,40.64251328,-73.95959473,1,40.69059372,-73.99575043,5,1,16,1,11,56,5,1,16,1,29,41,0,2
1.96,40.83892059,-73.94284821,1,40.83470535,-73.9283905,0,1,25,9,5,5,0,1,25,9,20,28,0,2
0.9,40.67028046,-73.92555237,1,40.67930603,-73.92896271,4,1,29,2,3,49,4,1,29,2,6,26,0,1
1.55,40.75850296,-73.8927536,1,40.76377106,-73.91477966,6,1,10,20,26,31,6,1,10,20,32,32,0,2
3.33,40.7244873,-73.9911499,1,40.68332672,-73.97677612,3,1,21,23,47,53,3,1,21,23,57,47,0,2
3.26,40.70189667,-73.91796112,1,40.71819305,-73.95942688,0,1,11,20,27,39,0,1,11,20,40,30,0,2
1.7,40.80013275,-73.95280457,1,40.82148743,-73.93933105,3,1,28,15,36,44,3,1,28,15,46,58,0,1
0.37,40.75487518,-73.91704559,1,40.75528336,-73.92204285,1,1,19,0,39,5,1,1,19,0,41,32,0,2
2.5,40.65713501,-73.8999176,1,40.65895462,-73.89952087,5,1,30,4,2,39,5,1,30,4,12,32,0,1
0.8,40.82941055,-73.93790436,1,40.8278923,-73.92581177,4,1,15,23,59,50,5,1,16,0,4,6,0,1
0.81,40.78274536,-73.95513916,1,40.79182053,-73.95082855,2,1,6,14,28,27,2,1,6,14,44,12,0,2
0.8,40.83774185,-73.85630035,1,40.83327103,-73.86056519,3,1,7,19,20,55,3,1,7,19,30,58,0,1
0.53,40.80861664,-73.96486664,1,40.81200027,-73.95730591,3,1,14,15,12,22,3,1,14,15,15,6,0,2
2.2,40.77975464,-73.98086548,1,40.78953171,-73.95433044,0,1,11,11,24,51,0,1,11,11,36,4,0,1
0.7,40.68861389,-73.98924255,1,40.69526672,-73.99302673,1,1,5,16,21,2,1,1,5,16,26,20,0,1
1.49,40.81423187,-73.95088959,1,40.81516647,-73.95786285,6,1,3,19,31,5,6,1,3,19,37,45,0,2
3,40.77110291,-73.92134857,1,40.8026619,-73.93373871,1,1,26,12,54,42,1,1,26,13,4,39,0,1
0.61,40.81986618,-73.95508575,1,40.8108139,-73.95809937,2,1,27,7,0,3,2,1,27,7,6,3,0,2
0.66,40.80653763,-73.95266724,1,40.81271362,-73.94571686,1,1,19,7,43,49,1,1,19,7,48,52,0,2
0.35,40.81882858,-73.94221497,1,40.82251358,-73.94197845,6,1,17,13,19,46,6,1,17,13,21,23,0,2
6.1,40.64380646,-74.00101471,1,40.6729126,-73.93067169,6,1,24,17,37,25,6,1,24,18,6,28,0,1
2.6,40.6661911,-73.94892883,1,40.68359375,-73.9281311,3,1,7,7,1,12,3,1,7,7,16,33,0,1
2.35,40.67263794,-73.954422,1,40.68978882,-73.97743225,1,1,12,15,58,11,1,1,12,16,11,3,0,2
3.35,40.72944641,-73.98595428,1,40.7446785,-73.95683289,0,1,25,9,59,2,0,1,25,10,28,26,0,2
5.8,40.74994278,-73.98809814,1,40.72230148,-73.95752716,5,1,2,5,12,44,5,1,2,5,33,1,0,1
2.27,40.67676544,-73.94797516,1,40.68804169,-73.98377228,4,1,1,2,6,41,4,1,1,2,18,9,0,2
2.16,40.69792938,-73.97354889,1,40.67815018,-73.98252106,1,1,19,13,27,39,1,1,19,13,41,45,0,2
5.07,40.73430634,-73.76393127,1,40.69934082,-73.80722046,4,1,29,16,0,42,4,1,29,16,18,58,0,2
2.4,40.78549194,-73.95005798,1,40.80916214,-73.95952606,4,1,22,12,18,49,4,1,22,12,31,43,0,2
1.06,40.69351959,-73.94882202,1,40.68013763,-73.94381714,3,1,28,19,25,14,3,1,28,19,29,22,0,2
2.1,40.79299545,-73.94818878,1,40.81376648,-73.95994568,1,1,5,7,57,49,1,1,5,8,13,54,0,1
1.04,40.72270584,-73.94778442,3,40.71401978,-73.95587921,5,1,2,0,23,58,5,1,2,0,29,43,0,2
0.79,40.79679108,-73.94699097,1,40.80538177,-73.93914795,0,1,11,22,2,15,0,1,11,22,5,17,0,2
4.47,40.68447113,-73.93974304,1,40.66604614,-73.91854095,1,1,26,19,53,51,1,1,26,20,28,29,0,2
1.04,40.85567856,-73.92913818,1,40.86489487,-73.91939545,1,1,26,10,24,39,1,1,26,10,31,25,0,2
1.2,40.72609711,-73.94358826,1,40.73428345,-73.95505524,1,1,5,16,51,11,1,1,5,17,0,34,0,1
2.62,40.69747543,-73.92593384,1,40.72081757,-73.95677948,5,1,9,2,27,25,5,1,9,2,44,13,0,2
4.61,40.73253632,-73.98162079,5,40.67786026,-73.98265076,5,1,30,22,32,18,5,1,30,23,1,14,0,2
3,40.71558762,-74.00978851,1,40.68491745,-73.98093414,3,1,14,7,54,24,3,1,14,8,10,36,0,2
1.2,40.75564575,-73.92781067,1,40.76554871,-73.91365814,5,1,30,12,47,18,5,1,30,12,54,26,0,1
0.9,40.77622986,-73.9209671,1,40.76674652,-73.92141724,3,1,21,17,56,2,3,1,21,18,8,33,0,2
1.51,40.8291626,-73.94478607,1,40.81091309,-73.95246124,4,1,15,1,1,7,4,1,15,1,5,42,0,2
4.79,40.71596909,-73.93936157,1,40.77204514,-73.92617035,2,1,13,18,26,40,2,1,13,18,50,44,0,2
1.68,40.74642181,-73.89587402,1,40.74699402,-73.89083862,6,1,17,20,40,54,6,1,17,20,52,12,0,2
0.98,40.73019028,-73.95413971,1,40.74281693,-73.95145416,6,1,17,0,54,27,6,1,17,0,57,57,0,2
1.55,40.66983795,-73.91372681,1,40.67920685,-73.92719269,2,1,20,15,6,47,3,1,21,0,0,0,0,2
0.64,40.79519272,-73.94411469,1,40.79868317,-73.93663025,6,1,3,1,41,47,6,1,3,1,43,33,0,2
3.71,40.76001358,-73.98844147,1,40.80822372,-73.96363831,6,1,17,14,12,47,6,1,17,14,38,21,0,2
4.62,40.6968689,-73.98383331,1,40.72248077,-73.95772552,5,1,30,5,10,42,5,1,30,5,21,21,0,2
1.69,40.65005112,-74.0034256,1,40.66938782,-73.9861908,6,1,24,12,59,42,6,1,24,13,12,15,0,2
1.97,40.65090179,-73.9746933,1,40.66365433,-73.99562073,3,1,28,16,52,14,3,1,28,17,2,7,0,2
0.86,40.7256813,-73.95391846,1,40.71632385,-73.95972443,6,1,17,15,32,17,6,1,17,15,37,53,0,2
1.68,40.67968369,-74.00157928,5,40.67022705,-73.97956085,5,1,9,15,10,51,5,1,9,15,21,19,0,2
3.12,40.68204498,-73.9415741,1,40.72264099,-73.94850159,4,1,8,20,9,25,4,1,8,20,23,14,0,2
0.7,40.6609993,-73.94801331,1,40.65523911,-73.95627594,5,1,30,15,9,5,5,1,30,15,12,17,0,2
1.2,40.64624405,-73.94425964,1,40.64928818,-73.95844269,4,1,8,16,38,7,4,1,8,16,46,39,0,1
2.18,40.68102264,-73.95523834,1,40.69610214,-73.94245911,4,1,22,15,4,14,4,1,22,15,17,59,0,2
0.38,40.76044464,-73.92684937,1,40.76055145,-73.92323303,4,1,8,22,18,33,4,1,8,22,21,27,0,2
3.6,40.77042007,-73.96437073,1,40.80945206,-73.96289825,1,1,19,13,10,46,1,1,19,13,32,4,0,1
2.9,40.75637054,-73.83161926,1,40.73041534,-73.86216736,0,1,4,8,1,19,0,1,4,8,13,16,0,1
1.77,40.74322128,-73.9207077,5,40.74623489,-73.89022827,3,1,21,18,56,34,3,1,21,19,7,51,0,2
2.35,40.69448471,-73.98812103,1,40.68075562,-73.95359802,2,1,6,17,56,6,2,1,6,18,15,57,0,2
2.3,40.75587463,-73.88640594,1,40.73392868,-73.87107086,5,1,30,19,56,11,5,1,30,20,18,47,0,1
0.9,40.68724442,-73.92351532,5,40.67857361,-73.91627502,5,1,16,17,44,52,5,1,16,17,49,8,0,1
0.6,40.69197083,-73.92681885,1,40.69326401,-73.93710327,4,1,29,22,5,23,4,1,29,22,8,12,0,2
2.4,40.82292557,-73.90581512,3,40.80968857,-73.93617249,4,1,1,0,47,34,4,1,1,1,3,38,0,1
4.96,40.77225113,-73.92790222,1,40.71682739,-73.95894623,0,1,25,16,55,27,0,1,25,17,24,22,0,2
0.7,40.71422958,-73.95661163,1,40.71791077,-73.95978546,4,1,29,22,16,3,4,1,29,22,23,2,0,2
7.57,40.72671127,-73.95346069,1,40.80485153,-73.96616364,6,1,17,16,32,53,6,1,17,17,18,8,0,2
2.1,40.82807159,-73.94065857,1,40.80804825,-73.94521332,4,1,29,23,31,6,4,1,29,23,42,57,1,1
3.51,40.86337662,-73.92897797,1,40.83604813,-73.94343567,5,1,16,20,28,13,5,1,16,20,38,12,0,2
1.36,40.80052567,-73.95855713,1,40.81058121,-73.94352722,2,1,6,18,20,31,2,1,6,18,28,0,0,2
1.2,40.58071899,-73.96722412,1,40.58729553,-73.95372772,3,1,28,9,58,14,3,1,28,10,6,51,0,1
1.83,40.68296814,-73.94677734,1,40.66155243,-73.95050049,6,1,10,2,0,3,6,1,10,2,8,19,0,2
1.49,40.75353241,-73.90592957,1,40.75641251,-73.87804413,1,1,5,8,27,5,1,1,5,8,34,53,0,2
5.52,40.70802689,-73.83734131,1,40.71189499,-73.94062042,1,1,26,23,14,11,1,1,26,23,33,49,0,2
4.6,40.64532852,-73.98091125,1,40.69409561,-73.9963913,2,1,27,21,12,59,2,1,27,21,26,46,0,2
2.4,40.78490448,-73.94852448,2,40.80797195,-73.96409607,0,1,18,16,15,31,0,1,18,16,27,58,0,1
4.03,40.68492889,-73.98815155,1,40.71580124,-73.96192932,5,1,30,2,25,13,5,1,30,2,38,7,0,2
0.87,40.82035828,-73.92211151,1,40.82054138,-73.93661499,2,1,27,20,15,58,2,1,27,20,20,52,0,2
4.89,40.72460175,-73.99575806,1,40.68123245,-73.94979858,6,1,10,11,4,34,6,1,10,11,26,35,0,2
2.98,40.63639069,-73.97048187,1,40.63131714,-74.00811768,5,1,9,21,23,15,5,1,9,21,38,12,0,2
6.2,40.71996307,-73.98258209,1,40.78342438,-73.94458008,3,1,7,20,38,53,3,1,7,20,52,50,0,1
1.2,40.8126564,-73.94116211,1,40.79828262,-73.95243835,6,1,10,16,56,57,6,1,10,17,1,35,0,1
1.23,40.71562576,-73.95170593,1,40.72888565,-73.95024109,0,1,18,23,8,50,0,1,18,23,13,32,0,2
2.6,40.65491867,-73.95826721,1,40.68642807,-73.96835327,5,1,16,13,15,21,5,1,16,13,31,13,0,1
3.37,40.73487091,-73.81074524,1,40.73291779,-73.86387634,4,1,1,16,37,40,4,1,1,16,44,47,0,2
3,40.80140686,-73.95609283,1,40.83845139,-73.9418335,2,1,27,7,24,19,2,1,27,7,43,15,0,1
3.34,40.84012222,-73.91318512,2,40.81932449,-73.92625427,5,1,16,23,56,17,6,1,17,0,9,4,0,2
1.42,40.74348068,-73.91510773,2,40.74442291,-73.88598633,4,1,1,0,28,40,4,1,1,0,36,10,0,2
1,40.68792343,-73.9489975,1,40.6798439,-73.93864441,3,1,28,10,21,58,3,1,28,10,25,16,0,1
2.41,40.73099136,-73.88278961,2,40.74834442,-73.87669373,2,1,27,23,19,14,2,1,27,23,31,34,0,2
6.53,40.73718643,-73.99046326,4,40.74606323,-73.94805908,5,1,23,3,11,0,5,1,23,3,34,18,0,2
1.39,40.77658081,-73.93457031,1,40.76703262,-73.92171478,4,1,22,20,52,28,4,1,22,20,58,33,0,2
3.56,40.76137924,-73.92391968,1,40.72317505,-73.95267487,4,1,1,0,19,39,4,1,1,0,39,18,0,2
3.28,40.77452087,-73.87236786,1,40.74692535,-73.89086914,0,1,4,6,2,16,0,1,4,6,8,37,0,2
1.3,40.87333298,-73.90549469,1,40.86559677,-73.92687225,5,1,30,23,24,23,5,1,30,23,31,22,0,1
2.15,40.67832565,-73.9621582,1,40.68813705,-73.99539185,3,1,21,23,9,2,3,1,21,23,20,36,0,2
1.48,40.77284622,-73.91918182,1,40.75905609,-73.91890717,6,1,17,4,44,28,6,1,17,4,50,2,0,2
0.77,40.64009857,-73.9475174,1,40.63217163,-73.94692993,5,1,2,17,52,24,5,1,2,17,58,3,0,2
1.12,40.79558182,-73.93240356,1,40.7959404,-73.94773865,3,1,21,10,35,5,3,1,21,10,42,25,0,2
3.46,40.65602875,-73.95326996,1,40.68946457,-73.99243927,4,1,22,21,45,34,4,1,22,22,6,24,0,2
1.11,40.69906616,-73.95333862,1,40.70301819,-73.93323517,3,1,7,1,42,49,3,1,7,1,47,6,0,2
4.22,40.77752686,-73.96100616,1,40.74811172,-73.9568634,6,1,17,17,10,56,6,1,17,17,31,0,0,2
2.18,40.78305054,-73.84314728,1,40.75950241,-73.83043671,6,1,3,21,46,46,6,1,3,21,56,30,0,2
6.3,40.68292618,-74.00320435,1,40.73032761,-73.95767212,3,1,21,0,16,58,3,1,21,0,29,11,0,1
1.1,40.79282379,-73.9407959,1,40.8051033,-73.93917084,2,1,6,8,23,38,2,1,6,8,30,53,0,1
6,40.83559036,-73.83298492,1,40.85391998,-73.90750122,5,1,16,18,38,42,5,1,16,18,58,10,0,1
4.39,40.76470184,-73.9727478,1,40.81836319,-73.94098663,5,1,16,23,0,39,5,1,16,23,16,34,0,2
1.26,40.80531693,-73.96572876,1,40.79561996,-73.94797516,3,1,21,11,9,10,3,1,21,11,18,32,0,2
2.21,40.73088837,-73.85140991,2,40.73034286,-73.88698578,4,1,22,15,28,43,4,1,22,15,42,7,0,2
5.3,40.75205231,-73.85463715,1,40.76680756,-73.92158508,2,1,13,5,41,31,2,1,13,5,53,57,0,1
3.3,40.85609818,-73.89562988,1,40.8315239,-73.93017578,0,1,11,17,59,39,0,1,11,18,14,54,0,1
0.07,40.68746567,-73.92698669,1,40.68932343,-73.92381287,6,1,24,15,26,16,6,1,24,15,27,28,0,2
11,40.83290863,-73.94032288,1,40.76833725,-73.92014313,4,1,1,1,28,22,4,1,1,2,8,32,0,2
